0.000000000000000000e+00 8.806814313877660005e-01
2.063121772015897304e-01 8.082015462268208328e-01
6.421776997916104346e-01 -2.288787518376714125e+00
8.373862118734823889e-01 -1.580048021577555861e+00
1.000000000000000000e+00 1.197068861804267303e+00
3.464675108666763204e-01 2.572075847310492658e-01
1.135863335150577441e-01 4.056806879440514463e-02
4.578557140601457465e-01 -2.947945864337851440e-01
3.899246001160567437e-02 1.705990864103225646e-01
1.356140818741014276e-01 -7.487810349411604394e-01
4.119492188970766966e-01 -2.265595054136054221e-01
9.679365590571855638e-01 8.061606662650588895e-01
9.894630152376143739e-01 9.784834211231309142e-01
