x,direction,R,theta,L0,attachment_ratio,stiff_Nm_per_deg,stiff_Nm_per_rad,frac_of_ceiling,dose_signed_Nm,peak_full_grid_Nm,engage_deg
-1,-1,0.17,165,0.214705882352941,0.364705882352941,-0.28784504515533,-16.492306241153,1,-2.71625774059769,4.1678221431159,-1.5
-0.933333333333333,-1,0.29,113.666666666667,0.317647058823529,0.223529411764706,-0.270607602017109,-15.5046734997362,0.940115546790394,-2.7699297896371,4.45068939650008,-0.5
-0.866666666666667,-1,0.35,161.333333333333,0.391176470588235,0.329411764705882,-0.250152491259387,-14.3326819838461,0.869052622130067,-2.17023061266659,3.27066074433392,-2
-0.8,-1,0.17,113.666666666667,0.2,0.223529411764706,-0.229621466085063,-13.1563408922805,0.797725963846803,-2.17927313621107,3.61533666009862,-1.5
-0.733333333333333,-1,0.17,117.333333333333,0.2,0.223529411764706,-0.210490190646651,-12.0601995529572,0.731262164103134,-2.75533211659788,3.63280145820624,2
-0.666666666666667,-1,0.23,165,0.273529411764706,0.329411764705882,-0.189322956315229,-10.8474063618023,0.657725257049551,-1.97778881947305,2.54569008464345,-0.5
-0.6,-1,0.21,124.666666666667,0.244117647058824,0.223529411764706,-0.170181759277997,-9.75069655674057,0.591226988764603,-2.15657596542052,2.64981953114648,2
-0.533333333333333,-1,0.19,154,0.229411764705882,0.294117647058824,-0.154323789793911,-8.84210183365521,0.536134953132973,-1.7393351506904,2.15698008274375,0.5
-0.466666666666667,-1,0.35,121,0.391176470588235,0.188235294117647,-0.134087610671049,-7.68265417644445,0.465832616985612,-1.49653899499293,1.72685215506536,0.5
-0.4,-1,0.27,113.666666666667,0.317647058823529,0.152941176470588,-0.114104737446505,-6.53771987813311,0.39641028868477,-1.29731241452022,1.41756750817069,0.5
-0.333333333333333,-1,0.17,161.333333333333,0.214705882352941,0.294117647058824,-0.0960647750915664,-5.50410617262023,0.333737810354619,-0.838341928946906,1.0441668914917,-2
-0.266666666666667,-1,0.29,154,0.332352941176471,0.258823529411765,-0.0762690530881019,-4.36989484940746,0.26496566250409,-0.934132877863855,0.976457654742627,1.5
-0.2,-1,0.23,143,0.273529411764706,0.223529411764706,-0.0581447651650559,-3.33144964473699,0.202000229441779,-0.71053753762101,0.727022739305231,1.5
-0.133333333333333,-1,0.33,161.333333333333,0.376470588235294,0.258823529411765,-0.0385652089324909,-2.20962370787195,0.13397906123998,-0.327771147406932,0.340873439497805,-2
-0.0666666666666667,-1,0.21,135.666666666667,0.258823529411765,0.188235294117647,-0.0338006040066715,-1.93663195457526,0.117426388175039,-0.329932099114234,0.333937320860821,-1
0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,NaN
0.0333333333333333,1,0.316666666666667,199.444444444444,0.359090909090909,0.181818181818182,0.132839824466715,7.61116129320147,0.0311831385957683,1.34719684219843,1.61279215421924,0.5
0.0666666666666667,1,0.25,195.555555555556,0.290909090909091,0.127272727272727,0.285964240608282,16.3845440785182,0.0671279308303815,3.45919317841764,4.49406777251969,-1
0.1,1,0.416666666666667,203.333333333333,0.45,0.127272727272727,0.427893175450415,24.5164730357596,0.100444668967452,4.80013661759875,6.96377136741048,-0.5
0.133333333333333,1,0.25,195.555555555556,0.290909090909091,0.0727272727272728,0.564298637943567,32.3319303391473,0.132464813974566,5.75071893487808,8.82868426353803,0.5
0.166666666666667,1,0.216666666666667,187.777777777778,0.268181818181818,0.0181818181818182,0.702962744804283,40.2767984322174,0.165015158570811,7.20182577372185,10.9567613270702,0.5
0.2,1,0.183333333333333,183.888888888889,0.245454545454545,-0.0363636363636363,0.853791178030071,48.9186310866258,0.200420986276047,9.06184956497193,13.5888397476687,0.5
0.233333333333333,1,0.15,183.888888888889,0.222727272727273,-0.0909090909090909,0.99645609061507,57.092728462349,0.233910489591416,10.4939921867472,16.0671025223486,0.5
0.266666666666667,1,0.35,199.444444444444,0.381818181818182,0.0181818181818182,1.13075211504636,64.7873238676479,0.265435460055006,11.8674255525386,19.3526460337771,0.5
0.3,1,0.25,211.111111111111,0.268181818181818,0.0181818181818182,1.28473651597929,73.6099801519548,0.301582127179524,14.2522968372665,23.4900431951823,0
0.333333333333333,1,0.25,183.888888888889,0.313636363636364,-0.0909090909090909,1.41694693484071,81.1850791603713,0.332617517595848,14.2204401541832,22.4931174215581,1
0.366666666666667,1,0.283333333333333,199.444444444444,0.313636363636364,-0.0363636363636363,1.57950909458776,90.4992048224088,0.370777748371295,19.2616947960426,29.6287826106283,-1
0.4,1,0.183333333333333,215,0.2,-0.0363636363636363,1.70301881639636,97.5757906108762,0.399770716320054,17.7037596495946,30.4866684311943,0.5
0.433333333333333,1,0.383333333333333,203.333333333333,0.404545454545455,-0.0363636363636363,1.83852852898611,105.3399252253,0.431580590849191,20.3335180887402,33.624716897051,0
0.466666666666667,1,0.283333333333333,215,0.290909090909091,-0.0363636363636363,1.99317936029672,114.200765157588,0.467883697436915,19.7734959441557,35.6315291815277,1
0.5,1,0.383333333333333,215,0.381818181818182,-0.0363636363636363,2.12836072260238,121.94608668653,0.499616494233844,25.8790686256896,42.9821343642631,-1
0.533333333333333,1,0.416666666666667,195.555555555556,0.45,-0.0909090909090909,2.26884683251404,129.99534786468,0.532594540190637,24.38474275309,40.1710738695702,0.5
0.566666666666667,1,0.35,187.777777777778,0.404545454545455,-0.145454545454545,2.41122656172497,138.153105436681,0.566017098877658,24.7848811838934,40.4292161561187,0.5
0.6,1,0.283333333333333,211.111111111111,0.290909090909091,-0.0909090909090909,2.57942661528781,147.790258619707,0.605500782352263,30.786747125163,50.4494952131123,-1
0.633333333333333,1,0.416666666666667,207.222222222222,0.427272727272727,-0.0909090909090909,2.69320651905393,154.30936689891,0.632209749507222,28.0492617210327,49.2660298890401,0.5
0.666666666666667,1,0.45,211.111111111111,0.45,-0.0909090909090909,2.84489623420624,163.000547372679,0.667817756594978,31.2927223482937,54.5671039010583,0
0.7,1,0.283333333333333,191.666666666667,0.336363636363636,-0.2,2.99434646252008,171.563414702329,0.702900061177874,34.367457534516,54.0930275987836,-0.5
0.733333333333333,1,0.216666666666667,215,0.222727272727273,-0.145454545454545,3.1285210373904,179.25105156036,0.734396522280605,37.9997709220918,61.6947259241606,-1
0.766666666666667,1,0.25,199.444444444444,0.290909090909091,-0.2,3.23888199443506,185.574268622044,0.760302917692529,35.1192206582644,58.0101878066446,0
0.8,1,0.35,207.222222222222,0.359090909090909,-0.145454545454545,3.40303503494375,194.979545037432,0.798836595628709,39.1136082799173,65.2159292185906,-0.5
0.833333333333333,1,0.316666666666667,215,0.313636363636364,-0.145454545454545,3.59845805054586,206.176459051152,0.844710662421461,36.3545684784883,65.838201799046,1
0.866666666666667,1,0.383333333333333,211.111111111111,0.381818181818182,-0.145454545454545,3.62683338080911,207.802245717526,0.851371555416855,40.3450095973011,69.6386519601542,0
0.9,1,0.416666666666667,195.555555555556,0.45,-0.2,3.82056625039566,218.902321497794,0.896848873285391,42.4690380176305,69.7360085893938,0
0.933333333333333,1,0.316666666666667,203.333333333333,0.336363636363636,-0.2,3.92275072238551,224.757060474585,0.920835901009846,47.1038016067419,75.754580376891,-1
0.966666666666667,1,0.283333333333333,211.111111111111,0.290909090909091,-0.2,4.14762866918888,237.641617731985,0.973624288908223,44.1999816547382,76.5755282808534,0.5
1,1,0.35,207.222222222222,0.359090909090909,-0.2,4.25998890582304,244.079385076214,1,46.6166661235548,79.8217851301762,0
